species,pi,xi,kernel,TL,OI,FT
species205,0.2,0.055,Exponential,2.000000000000001,1.592478231424371e-29,herbivore
species206,0.2,0.055,Exponential,2.000000000000004,2.4363371856713547e-29,herbivore
species207,0.2,0.055,Exponential,2.0000000000000053,3.3515761622475907e-29,herbivore
species208,0.2,0.055,Exponential,2.013157894736847,0.012984764542936254,omnivore
species209,0.2,0.055,Exponential,2.0259740259740306,0.025299375948726575,omnivore
species210,0.2,0.055,Exponential,2.02631578947369,0.025623268698060926,omnivore
species211,0.2,0.055,Exponential,2.041095890410963,0.03940701820228936,omnivore
species212,0.2,0.055,Exponential,2.0410958904109626,0.03940701820228937,omnivore
species213,0.2,0.055,Exponential,2.054054054054058,0.05113221329437545,omnivore
species214,0.2,0.055,Exponential,2.0555555555555616,0.05246913580246913,omnivore
species215,0.2,0.055,Exponential,2.081081081081088,0.07450693937180435,omnivore
species216,0.2,0.055,Exponential,2.0789473684210615,0.0727146814404433,omnivore
species217,0.2,0.055,Exponential,2.0821917808219244,0.07543629198723972,omnivore
species218,0.2,0.055,Exponential,2.0833333333333397,0.07638888888888898,omnivore
species219,0.2,0.055,Exponential,2.097222222222228,0.08777006172839527,omnivore
species220,0.2,0.055,Exponential,2.134205969469133,0.11708790071037124,omnivore
species221,0.2,0.055,Exponential,2.137882845344999,0.11978881029332147,omnivore
species222,0.2,0.055,Exponential,2.161968526546754,0.13776882344060914,omnivore
species223,0.2,0.055,Exponential,2.1619685265467523,0.13776882344060914,omnivore
species224,0.2,0.055,Exponential,2.2045110690892953,0.1674307001003346,omnivore
species225,0.2,0.055,Exponential,2.199199093268795,0.16413999151398873,omnivore
species226,0.2,0.055,Exponential,2.2238891887261873,0.181235539562385,omnivore
species227,0.2,0.055,Exponential,2.237108733572237,0.18964613522737503,omnivore
species228,0.2,0.055,Exponential,2.231529704547009,0.1864755841638955,omnivore
species229,0.2,0.055,Exponential,2.240000303493852,0.19126491531528958,omnivore
species230,0.2,0.055,Exponential,2.2477884625710103,0.19685514189477438,omnivore
species231,0.2,0.055,Exponential,2.258260161191882,0.2037503426974861,omnivore
species232,0.2,0.055,Exponential,2.258260161191883,0.2037503426974861,omnivore
species233,0.2,0.055,Exponential,2.2822796599349227,0.2190214176063215,omnivore
species234,0.2,0.055,Exponential,2.2790350661425687,0.21740928549108382,omnivore
species235,0.2,0.055,Exponential,2.285600597110628,0.22064967852604772,omnivore
species236,0.2,0.055,Exponential,2.2856005971106303,0.2206496785260477,omnivore
species237,0.2,0.055,Exponential,2.2856005971106303,0.2206496785260477,omnivore
species238,0.2,0.055,Exponential,2.3066639185834696,0.23443313352771106,omnivore
species239,0.2,0.055,Exponential,2.306663918583468,0.23443313352771106,omnivore
species240,0.2,0.055,Exponential,2.3066639185834665,0.23443313352771106,omnivore
species241,0.2,0.055,Exponential,2.3066639185834696,0.23443313352771106,omnivore
species242,0.2,0.055,Exponential,2.3100405567276456,0.2380449353261898,omnivore
species243,0.2,0.055,Exponential,2.3100405567276443,0.23804493532618984,omnivore
species244,0.2,0.055,Exponential,2.3512476538566833,0.2617363254082144,omnivore
species245,0.2,0.055,Exponential,2.3512476538566833,0.2617363254082144,omnivore
species246,0.2,0.055,Exponential,2.347387789528587,0.26020097178889745,omnivore
species247,0.2,0.055,Exponential,2.351247653856683,0.2617363254082144,omnivore
species248,0.2,0.055,Exponential,2.3911124985374625,0.2868619074861272,omnivore
species249,0.2,0.055,Exponential,2.3961971005580263,0.29066791420770266,omnivore
species250,0.2,0.055,Exponential,2.412067819691571,0.3011284291838554,omnivore
species251,0.2,0.055,Exponential,2.407947141494659,0.29979816378346796,omnivore
species252,0.2,0.055,Exponential,2.407947141494657,0.29979816378346796,omnivore
species253,0.2,0.055,Exponential,2.394007070786792,0.29646044206816213,omnivore
species254,0.2,0.055,Exponential,2.39794714149466,0.29785710661336096,omnivore
species255,0.2,0.055,Exponential,2.3979471414946576,0.2978571066133609,omnivore
species256,0.2,0.055,Exponential,2.40998061372904,0.3075262389007073,omnivore
species257,0.2,0.055,Exponential,2.4232824021519233,0.3155568713768147,omnivore
species258,0.2,0.055,Exponential,2.434680485116715,0.32423190737076757,omnivore
species259,0.2,0.055,Exponential,2.4346804851167176,0.32423190737076757,omnivore
species260,0.2,0.055,Exponential,2.422606027196807,0.3203282041914448,omnivore
species261,0.2,0.055,Exponential,2.4540979785958683,0.34172894093049616,omnivore
species262,0.2,0.055,Exponential,2.4540979785958683,0.34172894093049616,omnivore
species263,0.2,0.055,Exponential,2.437880193646017,0.3366257827116147,omnivore
species264,0.2,0.055,Exponential,2.439008059723874,0.3455522485806743,omnivore
species265,0.2,0.055,Exponential,2.4550235817366137,0.3551022094138818,omnivore
species266,0.2,0.055,Exponential,2.468923137895046,0.36857539815629536,omnivore
species267,0.2,0.055,Exponential,2.4682299808735864,0.3720400893635107,omnivore
species268,0.2,0.055,Exponential,2.4607383011796085,0.36953915170887924,omnivore
species269,0.2,0.055,Exponential,2.455467026150251,0.3732324938943129,omnivore
species270,0.2,0.055,Exponential,2.4506397114090888,0.3733295624099251,omnivore
species271,0.2,0.055,Exponential,2.4506397114090896,0.3733295624099251,omnivore
species272,0.2,0.055,Exponential,2.4506397114090914,0.3733295624099251,omnivore
species273,0.2,0.055,Exponential,2.4699894814796872,0.38383728302197606,omnivore
species274,0.2,0.055,Exponential,2.4737797192335518,0.3851370072029746,omnivore
species275,0.2,0.055,Exponential,2.457881981185754,0.3814292257068025,omnivore
species276,0.2,0.055,Exponential,2.46059249663112,0.38572596902585143,omnivore
species277,0.2,0.055,Exponential,2.4605924966311186,0.38572596902585143,omnivore
species278,0.2,0.055,Exponential,2.4605924966311186,0.38572596902585143,omnivore
